,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
0,580489,en,Venom: Let There Be Carnage,5401.308,2021-09-30,6.8,1736,"['Science Fiction', 'Action', 'Adventure']","After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",424000000,97,
1,524434,en,Eternals,3365.535,2021-11-03,7.1,622,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",165000000,157,In the beginning...
2,438631,en,Dune,2911.423,2021-09-15,8.0,3632,"['Action', 'Adventure', 'Science Fiction']","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",331116356,155,"Beyond fear, destiny awaits."
3,796499,en,Army of Thieves,2552.437,2021-10-27,6.9,555,"['Action', 'Crime', 'Thriller']",A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,0,127,"Before Vegas, one locksmith became a legend."
4,550988,en,Free Guy,1850.47,2021-08-11,7.8,3493,"['Comedy', 'Action', 'Adventure', 'Science Fiction']",A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,331096766,115,Life's too short to be a background character.
5,574060,en,Gunpowder Milkshake,1453.423,2021-07-14,6.5,347,"['Action', 'Thriller', 'Crime']","In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",344931,114,Revenge is best served ice cold.
6,335983,en,Venom,1212.352,2018-09-28,6.8,12126,"['Science Fiction', 'Action']","Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",855013954,112,The world has enough Superheroes.
7,610253,en,Halloween Kills,1023.024,2021-10-14,7.0,1134,"['Horror', 'Thriller']","Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",118852075,105,Evil dies tonight.
8,871964,pl,W lesie dziś nie zaśnie nikt 2,1089.852,2021-10-27,4.1,72,"['Horror', 'Thriller']","When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.",0,96,
9,768449,en,American Badger,1148.822,2021-03-05,6.3,14,"['Action', 'Thriller']","A seemingly cold-blooded hitman is assigned to befriend a call girl, but all hell breaks loose when he is assigned to kill her.",0,88,Justice Before Redemption
10,639721,en,The Addams Family 2,1031.821,2021-10-01,7.4,562,"['Animation', 'Comedy', 'Family']",The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,93258233,93,Unhappy to see you again.
11,843241,ja,劇場版 七つの大罪 光に呪われし者たち,1108.815,2021-07-02,8.4,210,"['Animation', 'Action']","With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",0,0,
12,566525,en,Shang-Chi and the Legend of the Ten Rings,1327.18,2021-09-01,7.7,1414,"['Action', 'Adventure', 'Fantasy']",Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,427480601,132,You can't outrun your destiny.
13,568620,en,Snake Eyes: G.I. Joe Origins,1052.222,2021-07-22,6.9,786,"['Action', 'Adventure']","After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",36964325,121,Every warrior has a beginning.
14,630004,en,The Vault,1046.86,2021-03-03,7.1,392,"['Crime', 'Action', 'Thriller']","When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",0,118,No job is impossible.
15,672582,en,The Deep House,848.536,2021-06-30,5.5,112,['Horror'],"While diving in a remote French lake, a couple of YouTubers who specialize in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realize the worst is yet to come: they are not alone in the house.",0,85,Breathe while you still can.
16,760747,no,I onde dager,863.019,2021-07-30,6.8,118,"['Action', 'Comedy', 'Thriller', 'Horror']","A dysfunctional couple head to a remote lakeside cabin under the guise of reconnecting, but each has secret designs to kill the other. Before they can carry out their respective plans, unexpected visitors arrive and the couple is faced with a greater danger than anything they could have plotted.",0,113,Til Death Do Us Part
17,675319,en,Zone 414,797.785,2021-09-03,5.8,86,"['Science Fiction', 'Thriller', 'Mystery']","In the near future on a colony of state-of-the-art robots, a private investigator is hired by the colony's creator to bring his missing daughter home.",0,98,What hides in the city of robots?
18,635302,ja,劇場版「鬼滅の刃」無限列車編,897.913,2020-10-16,8.4,1833,"['Animation', 'Action', 'Adventure', 'Fantasy']","Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",503063688,117,"With your blade, bring an end to the nightmare."
19,645788,en,The Protégé,832.048,2021-08-19,6.8,330,"['Action', 'Crime', 'Thriller']","Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",8115215,109,"Wherever you run, the past follows..."
20,879163,pt,Peçanha Contra o Animal,943.619,2021-10-22,5.4,13,"['Comedy', 'Crime']",,0,67,
21,589754,ru,Последний богатырь: Корень зла,835.043,2021-01-01,7.0,63,"['Fantasy', 'Adventure', 'Comedy']","Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",27658331,120,
22,846167,pl,W jak morderstwo,957.866,2021-06-18,5.8,25,"['Crime', 'Mystery', 'Drama', 'Comedy']",A stay-at-home mom and avid reader of crime stories discovers the deepest secrets of a small town's residents while investigating a woman's murder.,0,104,
23,436969,en,The Suicide Squad,807.497,2021-07-28,7.8,4695,"['Action', 'Adventure', 'Fantasy']","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",167381210,132,They're dying to save the world.
24,703771,en,Deathstroke: Knights & Dragons - The Movie,787.704,2020-08-04,7.0,294,"['Animation', 'Action', 'Adventure', 'Science Fiction']",The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,0,87,Never give a paid killer a reason to work for free
25,459151,en,The Boss Baby: Family Business,761.177,2021-07-01,7.7,1582,"['Animation', 'Comedy', 'Adventure', 'Family']",The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,112000000,107,Playtime is over.
26,820511,en,Ripper Untold,678.956,2021-06-28,6.5,47,['Horror'],A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbours a deadly secret.,0,85,"1888, a bloodbath in Whitechapel. No one is safe."
